Comment,Designator,Footprint,LCSC
INA219AxD,"U4,U8",SOIC-8_3.9x4.9mm_P1.27mm,C138706
100u,"C11,C23,C32,C5,C6",C_1206_3216Metric,C15008
Q_PMOS_GDS,Q1,TO-252-2,C165222
100R,"R29,R31,R32,R33,R34,R35",R_1206_3216Metric,C17901
Q_NMOS_GSD,Q14,SOT-23,C20917
10k,RV1,RK09_THT_Pot_C209770,C209770
S8050_SMD,"Q22,Q23,Q25",SOT-23,C2150
3.3M,"R2,R53",R_0402_1005Metric,C227368
Red,D1,D_0603_1608Metric,C2286
100R,"R4,R49,R50,R51,R52",R_0402_1005Metric,C25076
220R,R7,R_0402_1005Metric,C25091
330R,"R30,R6",R_0402_1005Metric,C25104
1k5,"R1,R3,R47,R48",R_0402_1005Metric,C25867
4k7,"R22,R24,R28,R45,R46",R_0402_1005Metric,C25900
TMP117,"U1,U5,U6",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2803242
100n,"C12,C2,C26,C27,C28,C29,C3,C4,C7,C8,C9",C_0402_1005Metric,C307331
SW_Push,"SW1,SW2,SW3",SW_SPST_TL3342,C318884
0.75mR,"R27,R5",res_5930,C495778
STM32G030XX,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
Q_NMOS_GDS,"Q16,Q17",TO-252-2,C709962
Green,D2,D_0603_1608Metric,C72043
LM317_TO-252,U7,TO-252-2,C75510
S8550,Q24,SOT-23,C8542
10u,"C1,C24,C25,C30,C31,C33",C_0603_1608Metric,C96446
XT60PW-M,J1,AMASS_XT60PW-M,C98732
